"id","name","address","area","borough","postcode","?","another?","latitude","longitude","london borough"
87933,"Barking Rugby Union Football Club","Gale Street, Dagenham","RM9 4TX",547647,183924,51.534920,0.127357,"Barking and Dagenham"
87940,"Barking United Services Club","79 Blake Avenue, Barking","IG11 9SF",545650,183656,51.533030,0.098489,"Barking and Dagenham"
88116,"Dagenham Conservative & Social Club","8-12 Salisbury Road, Dagenham","RM10 8TT",549853,184562,51.540071,0.159424,"Barking and Dagenham"
88125,"Dagenham Trades Hall","Dagenham Trades Hall, Charlotte Road, Dagenham","RM10 8TD",549728,184662,51.541003,0.157666,"Barking and Dagenham"
88140,"Deuce Lounge","20-22 London Road, Barking","IG11 8AG",544217,184197,51.538258,0.078064,"Barking and Dagenham"
88156,"Eastbrook Pub","Eastbrook Pub, Dagenham Road, Dagenham","RM10 7UP",550164,185936,51.552334,0.164488,"Barking and Dagenham"
88407,"Kings Bull","2 North Street, Barking","IG11 8ET",544143,183997,51.536480,0.076917,"Barking and Dagenham"
88409,"Kings Lounge","2 Linton Road, Barking","IG11 8HG",544261,184275,51.538948,0.078730,"Barking and Dagenham"
88518,"ME 'N' O'Briens","26-28 Goresbrook Road, Dagenham","RM9 6UR",549009,183667,51.532252,0.146884,"Barking and Dagenham"
88519,"Mecca Bingo Club","Cook Road, Dagenham","RM9 6UQ",548237,183680,51.532573,0.135769,"Barking and Dagenham"
88729,"Royal British Legion Club","541 Becontree Avenue, Dagenham","RM8 3JP",548209,186645,51.559221,0.136613,"Barking and Dagenham"
88730,"Royal British Legion Dagenham Club","Rectory Road, Dagenham","RM10 9SA",549487,184443,51.539099,0.154100,"Barking and Dagenham"
88883,"Thatched House","The Thatched House Ph, Ripple Road, Barking","IG11 9PG",546139,183715,51.533425,0.105558,"Barking and Dagenham"
88884,"The Admiral Vernon","141 Broad Street, Dagenham","RM10 9HP",549269,184158,51.536587,0.150838,"Barking and Dagenham"
88886,"The Barking Dog","The Barking Dog Ph, 61 Station Parade, Barking","IG11 8TU",544404,184344,51.539531,0.080819,"Barking and Dagenham"
88890,"The Bowl Bar (City Pavilion)","Collier Row Road, Romford","RM5 2BH",548842,190704,51.595516,0.147456,"Barking and Dagenham"
88892,"The Cedars Club","Cedars Club, Mill Lane, Chadwell Heath","RM6 6TT",548119,188160,51.572857,0.135954,"Barking and Dagenham"
88894,"The Cherry Tree Ph","Wood Lane, Dagenham","RM8 3LJ",548088,185910,51.552649,0.134560,"Barking and Dagenham"
88903,"The Cross Keys","Crown Street, Dagenham","RM10 9XA",549848,184484,51.539372,0.159319,"Barking and Dagenham"
88911,"The Jolly Fisherman PH","The Jolly Fisherman Ph, 108 North Street, Barking","IG11 8LA",543950,184520,51.541229,0.074350,"Barking and Dagenham"
88924,"The Royal Oak","Royal Oak, 201-203 Longbridge Road, Barking","IG11 8UF",545150,185136,51.546459,0.091891,"Barking and Dagenham"
88927,"The Spot","380 Ripple Road, Barking","IG11 9RS",545338,183910,51.535393,0.094095,"Barking and Dagenham"
88929,"The Three Travellers","The Three Travellers Ph, Wood Lane, Dagenham","RM10 7DS",549117,186860,51.560905,0.149792,"Barking and Dagenham"
88933,"The Victoria","The Victoria Ph, Axe Street, Barking","IG11 7LZ",544313,183903,51.535592,0.079328,"Barking and Dagenham"
88940,"Tollgate Tavern Public House","High Road, Chadwell Heath","RM6 6QT",548491,188131,51.572499,0.141305,"Barking and Dagenham"
89042,"Admiral Casino","164 Cricklewood Broadway, London","NW2 3ED",523846,185717,51.556751,-0.214963,Barnet
89052,"Ahir Lorenzo's Bar Restaurant","298 Nether Street, London","N3 1RJ",525064,190865,51.602747,-0.195571,Barnet
89063,"Albanian Association","Albanian Association,  Summers Lane, London","N12 0PD",526634,191269,51.606027,-0.172783,Barnet
89155,"Bald Faced Stag","Bald Faced Stag, 69 High Road, London","N2 8AB",527237,189406,51.589149,-0.164741,Barnet
89166,"Barnet Elizabethans Rugby Football Club Ltd","Barnet Rugby Football Club,  Byng Road, Barnet","EN5 4NS",523685,196944,51.657684,-0.213328,Barnet
89173,"Barnet Table Tennis Club","Barnet Table Tennis Centre,  Barnet Lane, Barnet","EN5 2DN",525124,195663,51.645851,-0.192993,Barnet
89224,"Blarneys Free House","128 Burnt Oak Broadway, Edgware","HA8 0BB",520074,190574,51.601217,-0.267686,Barnet
89232,Bodens,"99 East Barnet Road, Barnet","EN4 8RF",526819,195976,51.648277,-0.168396,Barnet
89265,"Brondesbury Cricket Tennis Bowls & Squash Club","Brondesbury Cricket Tennis And Squash Club, 5 Harman Drive, London","NW2 2EB",524400,185936,51.558588,-0.206898,Barnet
89280,"Builders Arms","Builders Arms, 3 Albert Road, Barnet","EN4 9SH",526472,196257,51.650889,-0.173307,Barnet
89339,"Camden Playing Fields Sports And Social Club","Old Camdenians Football Club,  Burtonhole Lane, London","NW7 1AS",523547,192816,51.620624,-0.216777,Barnet
89362,"Catcher In The Rye","317 Regents Park Road, London","N3 1DP",525040,190525,51.599697,-0.196039,Barnet
89366,"Cavalier Public House","67 Russell Lane, London","N20 0BB",527593,193929,51.629715,-0.157960,Barnet
89489,"Cricklewood Trades Hall Club And Institute","134 Cricklewood Lane, London","NW2 2DP",524240,186075,51.559882,-0.209156,Barnet
89517,"David Lloyd Club","David Lloyd Leisure Centre,  Leisure Way, London","N12 0QZ",526518,191247,51.605864,-0.174450,Barnet
89576,"East Barnet Valley United Services Club","23 East Barnet Road, Barnet","EN4 8RN",526630,196142,51.649820,-0.171066,Barnet
89580,"East Finchley Constitutional Club","East Finchley Constitutional Club,  The Walks, London","N2 8DE",526933,189788,51.592651,-0.168988,Barnet
89603,"Elephant Inn","Elephant Inn, 283 Ballards Lane, London","N12 8NR",526128,191854,51.611398,-0.179861,Barnet
89650,"Finchley Bowling Club","Finchley Bowling Club,  Etchingham Park Road, London","N3 2DT",525935,191281,51.606292,-0.182852,Barnet
89658,"Finchley Golf Club","Nether Court,  Frith Lane, London","NW7 1PU",524591,191645,51.609861,-0.202120,Barnet
89660,"Finchley Lawn Tennis Club","Finchley Lawn Tennis Club,  Brent Way, London","N3 1AJ",525024,191567,51.609074,-0.195898,Barnet
89661,"Finchley Manor Lawn Tennis, Squash And Health Club","Finchley Manor Lawn Tennis And Squash Rackets Club,  Lyndhurst Gardens, London","N3 1TD",524474,190734,51.601700,-0.204132,Barnet
89664,"Finchley Rugby Club","Finchley Rugby Football Club,  Summers Lane, London","N12 0PD",526637,191257,51.605923,-0.172735,Barnet
89666,"Finchley Tavern","686 High Road, London","N12 9PT",526424,192019,51.612816,-0.175544,Barnet
89667,"Finchley United Services Club","307 Ballards Lane, London","N12 8LY",526259,192023,51.612887,-0.177923,Barnet
89672,"Fitness Pod At Middlesex University","Middlesex University,  The Burroughs, London","NW4 4BT",522822,189361,51.589723,-0.228453,Barnet
89703,"Friary Park Bowling Club","Friary Park,  Friary Road, London","N20 0NR",527353,192773,51.619381,-0.161845,Barnet
89728,"Gate Lodge","622 Finchley Road, London","NW11 7RR",525184,187350,51.571131,-0.195092,Barnet
89739,"Gertie Brownes","95 High Road, London","N2 8AG",527219,189583,51.590744,-0.164936,Barnet
89810,"Hampstead Golf Club","82 Winnington Road, London","N2 0TU",526626,187491,51.572068,-0.174246,Barnet
89840,"Hendon Golf Club","Hendon Golf Club,  Ashley Walk, London","NW7 1DG",523348,191298,51.607016,-0.220184,Barnet
89846,"Hendon Rifle Club","Hendon Rifle Club,  Cool Oak Lane, London","NW9 7NB",521356,187461,51.572956,-0.250275,Barnet
89847,"Hendon Rugby Football Club","Hendon Rugby Football Club,  Greenlands Lane, London","NW4 1RL",522925,190937,51.603873,-0.226415,Barnet
89849,"Hendon Sea Training Corps","Hendon Sea Cadet Hall,  Cool Oak Lane, London","NW9 7ND",521646,187598,51.574134,-0.246030,Barnet
89856,"Hind & Hart","Hind And Hart,  The Concourse, London","NW9 5XA",521641,190756,51.602516,-0.245009,Barnet
89917,"Intimate Island Inn","85 Ballards Lane, London","N3 1XT",525415,190997,51.603864,-0.190458,Barnet
89960,"Joiners Arms","Joiners Arms, 51 Ballards Lane, London","N3 1XP",525356,190939,51.603347,-0.191331,Barnet
90017,"Kings Head","The Kings Head, 84 High Street, Barnet","EN5 5SN",524557,196497,51.653473,-0.200887,Barnet
90049,"Laboratory Spa & Health Club","1 Hall Lane, London","NW4 4TJ",522289,190488,51.599968,-0.235750,Barnet
90054,"Lambo Bar","75 Cricklewood Lane, London","NW2 1HR",524355,186179,51.560789,-0.207463,Barnet
90113,"Lord Kitchener","Lord Kitchener, 49 East Barnet Road, Barnet","EN4 8RN",526630,196142,51.649820,-0.171066,Barnet
90116,"Lounge 4:04","26 Cricklewood Lane, London","NW2 1HD",523946,185810,51.557564,-0.213488,Barnet
90120,"Lucky 7 - Wine Bar","7 Cricklewood Lane, London","NW2 1ET",523843,185784,51.557345,-0.214982,Barnet
90132,"Maccabi London","Rowley Lane Sports Ground,  Rowley Lane, Barnet","EN5 3HW",521494,196521,51.654358,-0.245132,Barnet
90233,"Mill Hill Golf Club","Mill Hill Golf Club, 100 Barnet Way, London","NW7 3AL",521007,193656,51.628706,-0.253159,Barnet
90238,"Mill Hill Rugby Club","Mill Hill Rugby Football Club,  Champions Way, London","NW7 2EQ",522526,191036,51.604841,-0.232139,Barnet
